,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
173,1501600.0,Bonito,15.0,PA,455.785,447.195,456.96999999999997,439.35,489.0
174,1501709.0,Bragança,15.0,PA,474.7881118881119,490.5991011235955,487.6808988764045,495.96480186480187,598.3820224719101
175,1501725.0,Brasil Novo,15.0,PA,459.3833333333333,470.1594594594595,458.33513513513515,464.39444444444445,516.2162162162163
176,1501758.0,Brejo Grande do Araguaia,15.0,PA,439.14444444444445,463.18888888888887,456.5,438.6111111111111,488.8888888888889
177,1501782.0,Breu Branco,15.0,PA,429.28636363636366,465.4826086956522,469.4,426.0378787878788,546.3768115942029
178,1501808.0,Breves,15.0,PA,451.9460759493671,483.787714987715,477.08673218673215,459.76987341772156,580.0
179,1501907.0,Bujaru,15.0,PA,437.0673469387755,456.5830188679246,449.92452830188677,445.22653061224486,523.0188679245283
180,1501956.0,Cachoeira do Piriá,15.0,PA,418.3277777777778,443.4368421052631,438.9789473684211,440.53333333333336,388.42105263157896
181,1502004.0,Cachoeira do Arari,15.0,PA,430.92777777777775,461.0777777777778,453.20000000000005,428.2416666666667,518.8888888888889
182,1502103.0,Cametá,15.0,PA,470.26844919786095,484.25391304347824,477.0791304347826,485.2675579322638,636.0347826086957
183,1502152.0,Canaã dos Carajás,15.0,PA,499.2913978494623,507.1762886597938,506.0938144329897,532.4467741935484,650.5154639175257
184,1502202.0,Capanema,15.0,PA,480.30697674418604,496.10270270270274,494.9436936936937,493.69069767441863,626.3063063063063
185,1502301.0,Capitão Poço,15.0,PA,456.58061224489796,465.9412844036697,479.0697247706422,479.14285714285717,537.0642201834862
186,1502400.0,Castanhal,15.0,PA,500.73297560975607,533.142518939394,520.2515151515152,538.1152195121952,705.4166666666666
187,1502509.0,Chaves,15.0,PA,431.8076923076923,443.4307692307693,427.5307692307692,429.3115384615385,469.2307692307692
188,1502608.0,Colares,15.0,PA,427.9777777777778,477.4513513513514,457.2459459459459,434.3305555555555,512.4324324324324
189,1502707.0,Conceição do Araguaia,15.0,PA,474.4119496855346,492.26666666666665,493.4660606060606,499.62264150943395,620.4848484848485
190,1502756.0,Concórdia do Pará,15.0,PA,424.3494382022472,478.72417582417586,465.089010989011,436.714606741573,585.7142857142857
191,1502764.0,Cumaru do Norte,15.0,PA,438.5142857142857,450.8333333333333,458.2,427.4857142857143,497.3333333333333
192,1502772.0,Curionópolis,15.0,PA,454.00476190476195,453.0608695652174,465.3695652173913,476.5761904761905,423.4782608695652
193,1502806.0,Curralinho,15.0,PA,432.2375,457.59891304347826,443.23369565217394,434.3125,562.1739130434783
194,1502855.0,Curuá,15.0,PA,438.79411764705884,448.8070175438597,435.9263157894737,422.2980392156863,616.4912280701755
195,1502905.0,Curuçá,15.0,PA,458.56067415730337,468.652688172043,470.041935483871,451.90337078651686,523.010752688172
196,1502939.0,Dom Eliseu,15.0,PA,472.0551724137931,502.61264367816096,500.3666666666667,491.86436781609194,581.8390804597701
197,1502954.0,Eldorado do Carajás,15.0,PA,458.6761904761905,454.02272727272725,453.9886363636364,459.1880952380953,465.0
198,1503002.0,Faro,15.0,PA,447.8434782608696,496.1,459.668,442.76521739130436,558.4
199,1503044.0,Floresta do Araguaia,15.0,PA,436.7689655172413,428.62702702702705,434.4891891891892,439.2896551724138,440.5405405405405
200,1503077.0,Garrafão do Norte,15.0,PA,475.79999999999995,476.128125,485.83437499999997,477.6741935483871,592.5
201,1503093.0,Goianésia do Pará,15.0,PA,459.1,495.9,490.59298245614036,496.55185185185184,555.0877192982456
202,1503101.0,Gurupá,15.0,PA,414.97878787878784,433.8515151515152,437.6393939393939,414.8333333333333,572.7272727272727
203,1503200.0,Igarapé-Açu,15.0,PA,461.1258064516129,494.66269841269843,484.9230158730159,465.2693548387097,631.9047619047619
204,1503309.0,Igarapé-Miri,15.0,PA,442.6355140186916,449.9126696832579,453.2131221719457,446.93130841121496,532.8506787330317
205,1503408.0,Inhangapi,15.0,PA,430.8060606060606,444.57428571428574,450.42,441.1575757575758,504.0
206,1503457.0,Ipixuna do Pará,15.0,PA,460.8309523809524,484.5255813953488,475.4813953488372,474.7642857142857,649.3023255813954
207,1503507.0,Irituia,15.0,PA,459.31538461538463,472.5415384615385,477.9138461538462,458.2415384615385,560.0
208,1503606.0,Itaituba,15.0,PA,480.63819241982503,511.703021978022,502.9739010989011,515.6259475218659,668.8461538461538
209,1503705.0,Itupiranga,15.0,PA,449.8434782608696,453.4555555555556,453.33162393162394,455.10173913043474,545.1282051282051
210,1503754.0,Jacareacanga,15.0,PA,455.25624999999997,467.7352941176471,474.2882352941176,462.71875,498.8235294117647
211,1503804.0,Jacundá,15.0,PA,456.7206896551724,481.06,474.40666666666664,471.4528735632184,612.8888888888889
212,1503903.0,Juruti,15.0,PA,448.1466257668711,475.77176470588233,462.79647058823525,452.139263803681,560.2352941176471
213,1504000.0,Limoeiro do Ajuru,15.0,PA,437.465,458.09638554216866,432.12771084337345,439.32875,592.0481927710844
214,1504059.0,Mãe do Rio,15.0,PA,448.3203389830509,480.2704,468.31359999999995,462.835593220339,577.6
215,1504109.0,Magalhães Barata,15.0,PA,425.3818181818182,461.9130434782609,446.45652173913044,416.95454545454544,463.4782608695652
216,1504208.0,Marabá,15.0,PA,490.7660839160839,513.745112781955,503.7620718462823,526.9226398601398,668.8387635756056
217,1504307.0,Maracanã,15.0,PA,409.85348837209307,452.2416666666666,444.68125000000003,401.85116279069763,457.5
218,1504406.0,Marapanim,15.0,PA,439.8236842105263,470.01750000000004,469.81000000000006,430.82894736842104,472.0
219,1504422.0,Marituba,15.0,PA,470.87750677506773,495.73237597911225,492.4746736292428,483.3241192411924,592.8981723237598
220,1504455.0,Medicilândia,15.0,PA,458.6140625,479.69027777777774,476.7638888888889,462.7828125,579.7222222222222
